image_id,image_path,row_alignment_score,column_alignment_score,layout_structure_score,notes
img_015,data/diagrams/AddressBookUML.jpg,0.8200,0.6700,0.7000,"Most main boxes align into several usable rows and columns, but there are noticeable column offsets and some in-between placements."
img_016,data/diagrams/All_Text_Overlap.png,0.7900,0.6800,0.7000,"The majority of boxes form clear rows with moderate column structure, but several are slightly offset or loosely aligned."
img_017,data/diagrams/AludraTest_Service_Design.png,0.8000,0.6200,0.6500,Boxes generally follow a row structure but column alignment is moderate with noticeable offsets.
img_018,data/diagrams/AndroidApplicationFlowDiagram.jpg,0.8100,0.6800,0.7100,"There are clear horizontal rows and some vertical columns, but a few boxes sit between major bands or are offset."
img_019,data/diagrams/AndroidDiagram.png,0.8400,0.6200,0.6800,Boxes are grouped mostly into clear horizontal rows with some unevenness in column alignment and spacing.
img_020,data/diagrams/AndroidInverterServiceDiagram.jpg,0.7800,0.6500,0.7200,"Boxes generally align into horizontal rows, with columns somewhat less consistent but still showing a structured layout."
img_021,data/diagrams/AndroidLocationServiceDiagram.jpg,0.8300,0.6300,0.6800,Boxes form mostly clear horizontal rows but with several offsets and a looser vertical column grouping.
img_022,data/diagrams/AndroidPanelsServiceDiagram.jpg,0.7800,0.6400,0.6800,"There are a few pronounced rows with some vertical jitter, but column alignment is looser with several boxes noticeably offset."
img_023,data/diagrams/AndroidSolarCalculatorServiceDiagram.jpg,0.8000,0.6800,0.6800,Boxes mostly form clear rows but column alignment is less consistent with several boxes offset between vertical bands.
img_024,data/diagrams/AndroidTariffServiceDiagram.jpg,0.8300,0.6600,0.7300,"Boxes generally form clear rows and some loose columns, but visible offsets and irregular spacing prevent a very high score."
img_025,data/diagrams/AngleConverterUML.png,0.8200,0.6800,0.7000,"Boxes cluster into major rows and columns, though some are offset or not tightly grouped."
img_026,data/diagrams/ApiClassDiagram.png,0.7400,0.6700,0.6800,"There are several clear rows and some column structure, but noticeable offsets and irregular gaps reduce the grid quality."
img_027,data/diagrams/Assignment1UML.png,0.8200,0.6500,0.6800,"There are generally clean rows with moderate column alignment, but several boxes sit staggered or between columns."
img_028,data/diagrams/BD_diagram.jpg,0.7500,0.6500,0.6700,"Several boxes align in bands suggesting rows and columns, but there are significant offsets and a few outliers breaking strict grid structure."
img_029,data/diagrams/BD_diagram_DAO_Class.jpg,0.8300,0.6800,0.7000,"The layout shows strong row alignment with fairly consistent spacing, but column alignment is looser with some noticeable offsets."
img_030,data/diagrams/BackendClassDiagram.png,0.8200,0.6600,0.7200,"Boxes generally group into visible rows and some columns, though several are slightly offset or drifting between bands."
img_031,data/diagrams/BasicClassDiagram.jpg,0.8700,0.6700,0.7400,Boxes form clear horizontal bands but columns are less strictly aligned with some noticeable drift.
img_032,data/diagrams/Battleship_UML.png,0.7800,0.6800,0.7100,"There are several mostly clean horizontal rows and vertical columns, but with noticeable offset and some boxes not perfectly grouped."
img_033,data/diagrams/Battleship_UML_A4.jpg,0.8100,0.6500,0.6700,"Boxes show strong horizontal banding with several clear rows, but column alignment is weaker with frequent offsets and some staggered blocks."
img_034,data/diagrams/BookDiagram.png,0.8100,0.6800,0.6800,"Most boxes are organized into discernible rows with some clear columns, though several boxes fall in between or are unevenly spaced."
img_035,data/diagrams/BrahmaClassDiagram.jpeg,0.8200,0.6500,0.7000,Boxes largely form clear rows but column alignment is less consistent with some visible drift.
img_036,data/diagrams/BreadCrumbDesign.png,0.8200,0.6800,0.7000,Most boxes align into clear horizontal rows but columns show moderate drift and offsets between groups.
img_037,data/diagrams/CS673W4S13_UMLClassDiagram_v1.1.jpg,0.8100,0.6800,0.7400,"There are clear horizontal rows with some consistent columns, but several boxes fall between bands causing moderate drift."
img_038,data/diagrams/ChatClientClassDiagram.png,0.7700,0.6800,0.6800,Boxes show generally structured rows with some noticeable offsets and slightly less sharp column grouping.
img_039,data/diagrams/Class Diagram (2).jpg,0.8000,0.6500,0.6800,"There are several clean rows but column alignment is looser, with some boxes offset between columns."
img_040,data/diagrams/Class Diagram 1 (2).png,0.8100,0.6800,0.7000,"There are several major horizontal rows and some vertical alignment, but with noticeable drift and staggered columns."
img_041,data/diagrams/Class Diagram 2.jpg,0.8200,0.6800,0.7200,Boxes are organized into several main rows with visible but not severe column drift and some scattered outliers.
img_042,data/diagrams/Class Diagram 2_1..png,0.8100,0.6500,0.7000,"Boxes are mostly arranged in a few horizontal rows with some alignment in columns, but several have noticeable offsets or fall between columns."
img_043,data/diagrams/Class Diagram Add new librarian.jpg,1.0000,1.0000,1.0000,"Only one large box is present, so the layout is trivially perfect with no misalignment."
img_044,data/diagrams/Class Diagram Book Search.jpg,1.0000,1.0000,1.0000,"With only two boxes present, both are perfectly aligned into a single row and column."
img_045,data/diagrams/Class Diagram PNG.png,0.8300,0.6800,0.7200,Boxes largely form clear horizontal rows with moderate column grouping but some noticeable offsets.
img_046,data/diagrams/Class Diagram Pay Fine.jpg,0.1800,0.1500,0.1600,There is only one detected box so no row or column alignment is observable.
img_047,data/diagrams/Class Diagram final.png,0.8000,0.6700,0.7000,"There are a few clear rows and some column grouping, but several boxes are noticeably offset or between bands."
img_048,data/diagrams/Class Diagram.jpg,0.7600,0.6200,0.6200,"There are some loosely formed rows and partial column clusters, but several boxes sit irregularly between bands."
img_049,data/diagrams/Class Diagram0.png,0.8300,0.6900,0.7200,"There are several well-formed rows and some column grouping, but noticeable stagger and a few boxes sit between main grid lines."
img_050,data/diagrams/Class Diagram1_1..jpg,1.0000,1.0000,1.0000,"There is only one detected large box, so the layout is perfectly structured with no alignment issues."
img_051,data/diagrams/Class Diagram1_10..jpg,0.7400,0.6800,0.6900,Boxes show general row and column banding but several are noticeably offset from the main alignments.
img_052,data/diagrams/Class Diagram1_11..jpg,1.0000,1.0000,1.0000,"Both detected boxes align perfectly, forming a single clear row and column."
img_053,data/diagrams/Class Diagram1_2..png,0.7200,0.6000,0.6200,The box centres show some tendency toward rows and columns but with noticeable offsets and irregular spacing.
img_054,data/diagrams/Class Diagram1_8..jpg,0.8100,0.6700,0.6900,Boxes generally form rows but there is moderate variation in vertical and horizontal alignment.
img_055,data/diagrams/Class Diagram2.0.png,0.8000,0.6200,0.6700,"Boxes show evidence of horizontal bands, but vertical alignment is less consistent and multiple boxes are between main columns."
img_056,data/diagrams/Class Diagram_1. (2).jpg,0.8500,0.6800,0.7300,"Boxes show strong row banding with some column regularity, but several vertical groups are slightly offset and not fully grid-aligned."
img_057,data/diagrams/Class Diagram_1..jpg,0.8100,0.6700,0.7000,"Boxes mostly cluster into visible horizontal rows, but column alignment is less strict with several staggered positions."
img_058,data/diagrams/Class Diagram_10..png,0.8100,0.6800,0.6800,"There are some clear rows and columns, but several boxes are noticeably offset or irregularly spaced."
img_059,data/diagrams/Class Diagram_13..png,0.8400,0.7200,0.7600,"Most boxes align into several fairly clean rows and columns, though there are some offsets and a few boxes between grids."
img_060,data/diagrams/Class Diagram_15..png,0.8300,0.6800,0.7200,Boxes cluster into clear horizontal bands but show moderate stagger and offset in columns.
img_061,data/diagrams/Class Diagram_16..png,0.7900,0.6700,0.6800,Boxes form several discernible rows with moderate column alignment and some noticeable off-grid placements.
img_062,data/diagrams/Class Diagram_18..png,0.7500,0.6200,0.6300,"Several boxes observe general banding into rows and columns but there are noticeable offsets, staggered boxes, and weak grid cohesion."
img_063,data/diagrams/Class Diagram_2..jpg,0.8000,0.6800,0.7200,Boxes form mostly clean rows but columns are more loosely aligned with some scattered placements.
img_064,data/diagrams/Class Diagram_2..png,0.8500,0.6800,0.7200,"Most boxes fall into several distinct rows with moderate column grouping, but there are a few significant horizontal offsets."
img_065,data/diagrams/Class Diagram_3..png,0.7800,0.6700,0.6700,"Boxes show clear but not perfect row and column alignment, with several boxes noticeably offset from main bands."
img_066,data/diagrams/Class Diagram_5..png,0.8000,0.6500,0.7000,"Several horizontal rows are clear but column grouping is less strict, with some boxes noticeably offset."
img_067,data/diagrams/Class Diagram_6. (2).png,0.7300,0.6200,0.6200,"Some banding into rows and loose columns is present, but box centroids show noticeable irregular offsets."
img_068,data/diagrams/Class Diagram_8. (2).png,0.8100,0.6300,0.6700,Boxes generally form several clear rows but the column alignment is weaker with notable horizontal variability.
img_069,data/diagrams/Class Diagram_8..png,0.8100,0.6900,0.7100,"Boxes group mainly into a few horizontal rows, but columns are less consistently aligned with some stagger and offsets."
img_070,data/diagrams/Class Diagram_9..png,0.8100,0.6500,0.7300,There are several well-defined horizontal rows but columns show moderate offsets and a few outliers.
img_071,data/diagrams/Class Diagram_JPG.jpg,0.7800,0.6700,0.6800,"Boxes display evident horizontal banding with some vertical structure, but several boxes sit noticeably off the main grid."
img_072,data/diagrams/ClassDiagram (2).jpg,0.8200,0.6800,0.7000,Boxes form several clear rows with moderate column alignment and a few noticeable offsets.
img_073,data/diagrams/ClassDiagram(nodependecy).png,0.8100,0.6600,0.7000,"Boxes tend to group into main rows and columns, but several are offset, breaking perfect banding."
img_074,data/diagrams/ClassDiagram-2014-12-03.png,0.7700,0.6200,0.6500,Several main rows are visible but many boxes are noticeably drifted between columns or not tightly row-aligned.
img_075,data/diagrams/ClassDiagram-Statements.png,0.8100,0.6800,0.7200,"Several rows and columns are apparent, but there are enough offsets and staggered positions to prevent a high grid-like score."
img_076,data/diagrams/ClassDiagram1.jpg,0.7600,0.6200,0.6500,"There are visible row groupings but several boxes are misaligned or offset, and column alignment is only moderate."
img_077,data/diagrams/ClassDiagram1_1..jpg,0.8200,0.6800,0.6800,Boxes form several reasonably clear horizontal rows with minor vertical jitter but the vertical alignment is looser with staggered columns.
img_078,data/diagrams/ClassDiagram1_14..png,0.8200,0.6800,0.6800,Most boxes form several well-defined horizontal rows but vertical alignment shows noticeable variation with some columns staggered.
img_079,data/diagrams/ClassDiagram1_2. (2).jpg,0.8500,0.6500,0.6500,"Boxes form several clear horizontal rows with minor vertical jitter, but column alignment is less precise with some staggering."
img_080,data/diagrams/ClassDiagram1_2..jpg,0.8700,0.7500,0.7500,Boxes generally form distinct rows and columns with moderate jitter and slight staggered positioning in columns.
img_081,data/diagrams/ClassDiagram1_6..jpg,0.8200,0.7000,0.7000,"Boxes mostly form distinct horizontal rows with small vertical jitter, but column alignment is less consistent with some staggered positions."
img_082,data/diagrams/ClassDiagram2.png,0.8500,0.7500,0.7500,"Boxes generally align well into several horizontal rows and vertical columns with some minor vertical and horizontal displacement, resulting in a mostly structured grid."
img_083,data/diagrams/ClassDiagram2_2..jpg,0.8300,0.6900,0.6900,Boxes form fairly clear horizontal rows with some vertical jitter and columns show more noticeable offsets causing a moderate overall grid alignment.
img_084,data/diagrams/ClassDiagram3_1..png,0.8300,0.7400,0.7400,Boxes generally form clear horizontal rows and vertical columns with some minor offsets and occasional vertical or horizontal jitter.
img_085,data/diagrams/ClassDiagram4.png,0.8300,0.7000,0.7000,"Boxes form generally clear rows with minor vertical jitter and moderately clear columns with some horizontal offsets, creating an overall structured but not perfect grid layout."
img_086,data/diagrams/ClassDiagramContentProvider.png,0.8500,0.7500,0.7500,The diagram shows mostly clean horizontal rows and generally structured vertical columns with some noticeable offsets or staggered boxes.
img_087,data/diagrams/ClassDiagramPresentation.png,0.8300,0.7200,0.7200,Boxes generally align well into distinct horizontal rows and vertical columns with some minor offsets and irregular spacing.
img_088,data/diagrams/ClassDiagramSockets.png,0.7500,0.6500,0.6500,Boxes show generally clear horizontal banding with some vertical offsets and moderate column misalignment.
img_089,data/diagrams/ClassDiagramStepDetector.png,0.7900,0.7200,0.7200,"Boxes generally form clear rows and columns with some minor vertical and horizontal jitter, maintaining a mostly structured grid layout."
img_090,data/diagrams/ClassDiagramTimesheet.jpg,0.8500,0.7500,0.7500,Boxes generally form distinct rows and columns with some jitter and slight offsets creating a mostly grid-like layout.
img_091,data/diagrams/ClassDiagram_04.png,0.8500,0.6500,0.6500,"Boxes generally align into distinct horizontal rows but show more variation in vertical columns, resulting in a moderately structured grid layout."
img_092,data/diagrams/ClassDiagram_12..png,0.8800,0.7300,0.7300,"Boxes are well aligned into distinct horizontal rows with some minor vertical jitter, and mostly aligned into vertical columns with a few offsets."
img_093,data/diagrams/ClassDiagram_13..png,0.8500,0.6500,0.6500,"Boxes are well aligned into distinct horizontal rows with minor vertical jitter, but column alignment is weaker due to staggered box positions and irregular spacing."
img_094,data/diagrams/ClassDiagram_14..jpg,0.8500,0.7200,0.7200,Boxes form several clear horizontal rows with minor jitter and generally align into a few vertical columns though some boxes cause slight stagger.
img_095,data/diagrams/ClassDiagram_14..png,0.8200,0.6300,0.6300,"Boxes generally form several distinct horizontal rows but show weaker, more staggered vertical column alignment."
img_096,data/diagrams/ClassDiagram_15..jpg,0.8500,0.7500,0.7500,Boxes are well grouped into distinct horizontal rows and vertical columns with some minor horizontal offsets causing mild irregularity.
img_097,data/diagrams/ClassDiagram_19..png,0.8500,0.7500,0.7500,Boxes mostly align into several clean horizontal rows and a few vertical columns with some minor offsets and uneven spacing.
img_098,data/diagrams/ClassDiagram_26..png,0.8500,0.6800,0.6800,"Boxes generally form clear horizontal rows with minor vertical jitter, while vertical columns show more irregular spacing and some staggered boxes."
img_099,data/diagrams/ClassDiagram_27. (2).png,0.8300,0.6900,0.6900,"The boxes generally form clear horizontal rows with small vertical jitter, while the vertical column alignment is less consistent with several noticeable offsets and irregular spacing."
img_100,data/diagrams/ClassDiagram_27..png,0.8200,0.6800,0.6800,Boxes are well aligned into several horizontal rows but show more scattering and staggered placement along vertical columns.
img_101,data/diagrams/ClassDiagram_3..jpg,0.8500,0.7000,0.7000,"The boxes form several distinct horizontal rows with minor vertical jitter, while column alignment is clear but contains some staggered boxes, resulting in a generally structured grid layout."
img_102,data/diagrams/ClassDiagram_3..png,0.7500,0.6000,0.6000,"Boxes generally form clear horizontal rows with some vertical jitter, but column alignment is weaker with noticeable stagger and uneven spacing."
img_103,data/diagrams/ClassDiagram_30..png,0.8500,0.6800,0.6800,Boxes exhibit strong row alignment but somewhat loose column alignment with noticeable offsets and staggering.
img_104,data/diagrams/ClassDiagram_31..png,0.8500,0.7500,0.7500,Boxes generally form distinct rows and columns with some jitter and staggered positions but maintain a structured grid-like layout overall.
img_105,data/diagrams/ClassDiagram_32..png,0.8800,0.6500,0.6500,"Boxes form several clean horizontal rows but the vertical alignment is less consistent, producing a generally structured but somewhat irregular grid."
img_106,data/diagrams/ClassDiagram_35. (2).png,0.7900,0.6500,0.6500,Boxes form several reasonably clear rows but column alignment is less consistent with noticeable horizontal spread and stagger.
img_107,data/diagrams/ClassDiagram_35..png,0.8200,0.7500,0.7500,Boxes form several clear horizontal rows with minor vertical jitter and reasonably consistent vertical columns with some offsets.
img_108,data/diagrams/ClassDiagram_36..png,0.8700,0.6500,0.6500,Boxes show strong horizontal row alignment but column alignment is less precise with some stagger and irregular spacing.
img_109,data/diagrams/ClassDiagram_37..png,0.8500,0.6800,0.6800,"Boxes align well in horizontal rows with minor jitter, but column alignment is looser with some staggered positions."
img_110,data/diagrams/ClassDiagram_38..png,0.8500,0.6800,0.6800,"The boxes mostly align well into clear rows but show some irregularity and staggered placement in columns, resulting in a moderately structured layout."
img_111,data/diagrams/ClassDiagram_4..png,0.8800,0.7500,0.7500,"Boxes form several well-defined horizontal rows with minor vertical jitter, while columns are generally aligned but show some horizontal offsets."
img_112,data/diagrams/ClassDiagram_41..png,0.8800,0.7400,0.7400,"The boxes are generally well aligned into distinct rows and columns, with some noticeable horizontal offsets reducing the column alignment quality."
img_113,data/diagrams/ClassDiagram_45..png,0.8800,0.7500,0.7500,Boxes generally form clear horizontal rows with minor vertical jitter and fairly consistent vertical columns despite some staggered positions.
img_114,data/diagrams/ClassDiagram_47..png,0.7500,0.6500,0.6500,Boxes generally form distinct horizontal rows but columnar alignment is less precise with multiple staggered positions.
img_115,data/diagrams/ClassDiagram_5. (2).jpg,0.8200,0.6800,0.6800,"The boxes mostly arrange in clear rows with small vertical jitter, while column alignment is somewhat weaker due to some staggering."
img_116,data/diagrams/ClassDiagram_5..jpg,0.8200,0.6500,0.6500,"Boxes generally form distinct horizontal rows with minor vertical jitter, but column alignment is less consistent with staggered positions and wider spacing."
img_117,data/diagrams/ClassDiagram_5..png,0.8800,0.7200,0.7200,Boxes mostly align into distinct horizontal rows with some vertical jitter and moderately clear column groupings with noticeable stagger.
img_118,data/diagrams/ClassDiagram_55..png,0.7500,0.6500,0.6500,There is generally clear row alignment but column alignment is weaker with noticeable offsets and some staggered boxes.
img_119,data/diagrams/ClassDiagram_57..png,0.8600,0.7300,0.7300,Boxes form several clear horizontal rows with small vertical jitter and mostly aligned vertical columns with some stagger.
img_120,data/diagrams/ClassDiagram_6. (2).png,0.8200,0.7300,0.7300,Boxes form generally clear rows with slight vertical jitter and somewhat staggered columns resulting in a mostly structured layout.
img_121,data/diagrams/ClassDiagram_6..png,0.8500,0.6800,0.6800,"Boxes form clear horizontal rows with small vertical jitter but column alignment is less consistent, leading to a moderately structured overall layout."
img_122,data/diagrams/ClassDiagram_68..png,0.7900,0.6800,0.6800,Boxes generally form clear horizontal rows with some vertical jitter and weaker alignment in vertical columns due to staggered positions.
img_123,data/diagrams/ClassDiagram_8..svg.png,0.8200,0.6500,0.6500,"Boxes form several relatively clean horizontal rows but have less consistent vertical alignment, resulting in a generally structured but somewhat irregular grid layout."
img_124,data/diagrams/ClassDiagram_Service_20121126-1.jpg,0.7500,0.6200,0.6200,"Boxes show clear row alignment but column positions are less consistent, resulting in a moderately structured layout."
img_125,data/diagrams/ClassDiagramm (2).png,0.8200,0.6800,0.6800,"Boxes form quite clear horizontal rows with minor vertical jitter but column alignment is looser and some columns are staggered, resulting in a moderately structured layout."
img_126,data/diagrams/ClassDiagramm.png,0.8500,0.6800,0.6800,Boxes form several reasonably tight horizontal rows but their vertical alignment is weaker with some noticeable column offsets and staggered positions.
img_127,data/diagrams/ClassDiagrams.png,0.8500,0.7200,0.7200,Boxes align well into several clean horizontal rows with moderate vertical jitter and show reasonable but less consistent vertical column grouping.
img_128,data/diagrams/ClassDiagramsWithActivities.png,0.8500,0.6500,0.6500,"Boxes mostly follow clear horizontal rows with minor vertical jitter, but columns show more irregular spacing and some offset boxes reducing overall grid structure."
img_129,data/diagrams/Class_Diagram-_9_0_76d0249_1109608146824_192492_2940.jpg,0.8800,0.7500,0.7500,"Boxes form several well-defined horizontal rows with minor vertical jitter and moderately clear vertical columns, though some columns show slight offsets."
img_130,data/diagrams/Class_Diagram.jpg,0.8800,0.7500,0.7500,Boxes generally form several clear horizontal rows with small vertical jitter and moderately aligned vertical columns with some staggered positions.
img_131,data/diagrams/Class_Diagram.png,0.8500,0.6800,0.6800,"Boxes form several clean horizontal rows with minor vertical jitter, but columns are more loosely aligned with some noticeable offsets."
img_132,data/diagrams/Class_Diagram1.png,0.9500,0.6500,0.6500,Boxes align almost perfectly into two horizontal rows but column alignment is weaker with noticeable horizontal offsets.
img_133,data/diagrams/Class_Diagram_Client.png,0.7800,0.6500,0.6500,"Boxes form several distinct horizontal rows with small vertical jitter but columns are less consistently aligned, resulting in a generally clear yet imperfect grid structure."
img_134,data/diagrams/Class_Diagram_Daemon.jpg,0.8500,0.5800,0.5800,"The boxes align well into a few distinct rows but show weaker alignment into columns, causing a mostly row-based structure with moderate irregularity across columns."
img_135,data/diagrams/Class_Diagram__Component_View__scs.georesults.om__menetlevel__menetlevel.png,0.8700,0.6800,0.6800,Boxes form mostly clean horizontal rows with some vertical jitter and columns are less well aligned with noticeable stagger.
img_136,data/diagrams/Class_Diagram__Component_View__scs.georesults.om__menetlevel__menetlevel.svg.png,0.8500,0.7000,0.7000,Boxes form several distinct horizontal rows with minor vertical jitter and a reasonable but less consistent vertical column alignment.
img_137,data/diagrams/Class_Diagram__Component_View__scs.georesults.om__nevezes__nevezes.png,0.8200,0.6500,0.6500,Boxes form relatively clean horizontal rows but show more variability in vertical columns with some staggered positions.
img_138,data/diagrams/Class_Diagram__Component_View__scs.georesults.om__verseny__verseny.png,0.8800,0.7500,0.7500,Boxes form several well-defined horizontal rows with some small vertical jitter and generally clear vertical columns with some offsets.
img_139,data/diagrams/ClientClassDiagram.png,0.8500,0.7200,0.7200,Boxes form several clear horizontal rows and mostly aligned vertical columns with some minor offsets and slight stagger.
img_140,data/diagrams/CloudPlex_ClassDiagram_1.jpg,0.7200,0.6500,0.6500,"Box centers form a few clear horizontal rows but column alignment is looser with several staggered positions, resulting in a moderate grid structure."
img_141,data/diagrams/CodendiThemesArchitecture.png,0.8500,0.6800,0.6800,"Boxes align well into a few horizontal rows with minor vertical jitter, but column alignment is weaker with some staggered positions."
img_142,data/diagrams/CoffeePot_UML_v2.4.png,0.8500,0.6800,0.6800,Boxes align well into distinct horizontal rows but column alignment is looser with some staggered spacing.
img_143,data/diagrams/CogniDriverDomainClassDiagram.png,0.7500,0.6600,0.6600,The boxes mostly form several horizontal rows with moderate jitter and some staggered vertical alignment resulting in a mixed grid structure.
img_144,data/diagrams/CommandExecutionConnectorClassDiagram.png,0.8500,0.7000,0.7000,"Boxes are well aligned in several horizontal rows with some minor jitter, while vertical alignment shows more stagger and less consistency."
img_145,data/diagrams/ConsMS-class-diagram1.png,0.8500,0.7500,0.7500,Boxes align well into several distinct horizontal rows with some vertical jitter and show generally clear columns with moderate horizontal offsets.
img_146,data/diagrams/CoreClassDiagram.diagram.png,0.7500,0.6200,0.6200,Boxes generally align into several rows with moderate vertical jitter and weaker column grouping with some staggered positions.
img_147,data/diagrams/CoreClassDiagram_2..png,0.7500,0.6200,0.6200,"The boxes form generally clear rows with some vertical jitter, but columns are more loosely aligned and staggered, resulting in a moderately structured layout."
img_148,data/diagrams/CreateNewRouteUML.png,0.8200,0.6800,0.6800,"Boxes form several clear horizontal rows with minor vertical jitter, while column alignment is less consistent with more staggered placements."
img_149,data/diagrams/CrudeUMLDiagram.png,0.8500,0.6500,0.6500,"The boxes mostly form clear horizontal rows with some vertical jitter, but the vertical column alignment is weaker due to staggered horizontal positions."
img_150,data/diagrams/CurveCalibrationProductsClassDiagram.svg.png,0.8500,0.6500,0.6500,Boxes form several clean horizontal rows but the vertical column alignment is weaker with noticeable stagger and offsets.
img_151,data/diagrams/DAServerClassDiagram.png,0.8300,0.7500,0.7500,Boxes mostly align into several clean horizontal rows and vertical columns with some minor jitter and a few offsets.
img_152,data/diagrams/Death_Rally_UML.png,0.8200,0.6300,0.6300,Boxes generally form several identifiable horizontal rows with moderate vertical jitter and fewer clear vertical columns with more staggered positioning.
img_153,data/diagrams/Design10.jpeg,0.8500,0.6800,0.6800,Boxes form mostly clear horizontal rows but vertical column alignment shows more irregularity and staggered placement.
img_154,data/diagrams/DesignModelIteration1.png,0.8800,0.7500,0.7500,Boxes align well into several distinct horizontal rows with minor vertical jitter and generally form clear vertical columns despite some small horizontal offsets.
img_155,data/diagrams/DesignModelIteration2.png,0.8200,0.7300,0.7300,Boxes generally form distinct horizontal rows with minor vertical jitter and mostly clear columns though with some horizontal offsets.
img_156,data/diagrams/DesignModel_3..png,0.7500,0.6800,0.6800,Boxes form fairly distinct rows with some vertical jitter and multiple columns though with stagger and some boxes between columns.
img_157,data/diagrams/Diagram klas1.png,0.7200,0.6400,0.6400,The boxes form several horizontal rows with minor vertical jitter but columns are less consistent with noticeable horizontal offsets.
img_158,data/diagrams/Diagram1.jpeg,0.7500,0.6500,0.6500,"The boxes generally form several distinct horizontal rows but have more variable vertical alignment, while column alignment is looser with staggered positions and some intermediate placements."
img_159,data/diagrams/DiagramClassBD.png,0.7800,0.6500,0.6500,Boxes form several generally clear horizontal rows with small vertical jitter but columns are less tightly aligned with some stagger and offsets.
img_160,data/diagrams/DiagramClassSuppervoiture.png,0.8500,0.6500,0.6500,Boxes align well in distinct horizontal rows but show less consistent vertical column alignment with noticeable horizontal offsets.
img_161,data/diagrams/DiagramKlas.png,0.8300,0.7600,0.7600,Boxes mostly align into distinct horizontal rows with some vertical jitter and generally clear vertical columns despite minor offsets.
img_162,data/diagrams/DiagramMain.png,0.8500,0.7500,0.7500,The boxes mostly form clear horizontal rows with some vertical jitter and columns are fairly aligned but with noticeable offsets.
img_163,data/diagrams/Diagram_Crossover.png,0.9500,0.8500,0.8500,The boxes form very clear and tight horizontal rows with only slight vertical jitter and generally well-aligned vertical columns with a few minor offsets.
img_164,data/diagrams/Diagram_General.png,0.9200,0.8500,0.8500,Boxes form several very clean horizontal rows with minor jitter and generally well-aligned vertical columns creating a mostly grid-like structure.
img_165,data/diagrams/Diagram_GeneticOperator.png,0.9500,0.8800,0.8800,Boxes align very well into multiple distinct horizontal rows and three main vertical columns with minimal jitter or offsets.
img_166,data/diagrams/Diagrama de Clases Entidad.png,0.8500,0.6600,0.6600,Boxes form mostly clear horizontal rows but column alignment is less consistent with several offsets and irregular spacing.
img_167,data/diagrams/Diagrama de Clases.png,0.8500,0.7500,0.7500,"The diagram shows clear row and column groupings with minor offsets, creating a generally structured grid layout."
img_168,data/diagrams/Diagrama de clase - Patrones JSF2.jpg,0.7500,0.4500,0.4500,"The diagram shows generally clear horizontal bands, but columns are loosely aligned with several noticeable offsets."
img_169,data/diagrams/Diagrama de clases_1..jpg,0.8300,0.7500,0.7500,Boxes form several clear rows and columns with some minor vertical and horizontal offsets causing moderate irregularity.
img_170,data/diagrams/Diagrama de classes de projeto.jpg,0.7600,0.6800,0.6800,The diagram shows generally good row alignment with some vertical jitter and several columns are reasonably clear but with noticeable horizontal offsets.
img_171,data/diagrams/DiagramaClasesProyecto.jpeg,0.8200,0.6800,0.6800,Boxes form clear horizontal rows with some vertical jitter and weaker column alignment due to staggered positions.
